asset_id,type,tool,prompt_summary,iterations,manual_edit_minutes,main_problems,godot_import_notes,final_path
tile.png,tileset,nano banana 2 (gemini),"neon blue square, tile cyberpunk futuristic, bubble bobble clone",3,5,"no transparent background, needed resizing",,res://assets_ai/processed/sprites/
title.png,background,nano banana 2 (gemini),"title screen for bubble bobble, cyberpunk aesthetics, no additional text",3,0,iterate to get the ideal background,,res://assets_ai/processed/sprites/
game_over.png,background,nano banana 2 (gemini),"game over screen, cyberpunk, no additional text, remove icons",5,0,iterate to get the ideal background,,res://assets_ai/processed/sprites/
Neon_Jungle_Odyssey.mp3,music,Gemini,"create a 30 second soundtrack for bubble bobble, monkey, sci fi",3,0,wasn't getting the right loop end,re-imported to turn on looping,res://assets_ai/processed/music/
blowing.wav,sfx,ElevenLabs,blowing a balloon,1,0,,lowered the volume,res://assets_ai/processed/sfx/
jump.wav,sfx,ElevenLabs,long jumping sound for a platformer,2,0,,lowered the volume,res://assets_ai/processed/sfx/
pickup.wav,sfx,ElevenLabs,shiny power up sound,1,0,,lowered the volume,res://assets_ai/processed/sfx/
popping.wav,sfx,ElevenLabs,popping sound like poking a balloon,2,0,,lowered the volume,res://assets_ai/processed/sfx/
running.wav,sfx,ElevenLabs,footsteps running on metal ,2,0,,lowered the volume,res://assets_ai/processed/sfx/
robot0.png,sprite,ChatGPT,"given reference image, create robot wheels animation, neon blue, head bob, wheel glow",8,30,"the spritesheet wasn't working, needed to create crop 8 seperate pngs, needed to remove background",scaled down 50%,res://assets_ai/processed/sprites/robot/
robot1.png,sprite,ChatGPT,"given reference image, create robot wheels animation, neon blue, head bob, wheel glow",8,30,"the spritesheet wasn't working, needed to create crop 8 seperate pngs, needed to remove background",scaled down 50%,res://assets_ai/processed/sprites/robot/
robot2.png,sprite,ChatGPT,"given reference image, create robot wheels animation, neon blue, head bob, wheel glow",8,30,"the spritesheet wasn't working, needed to create crop 8 seperate pngs, needed to remove background",scaled down 50%,res://assets_ai/processed/sprites/robot/
robot3.png,sprite,ChatGPT,"given reference image, create robot wheels animation, neon blue, head bob, wheel glow",8,30,"the spritesheet wasn't working, needed to create crop 8 seperate pngs, needed to remove background",scaled down 50%,res://assets_ai/processed/sprites/robot/
robot4.png,sprite,ChatGPT,"given reference image, create robot wheels animation, neon blue, head bob, wheel glow",8,30,"the spritesheet wasn't working, needed to create crop 8 seperate pngs, needed to remove background",scaled down 50%,res://assets_ai/processed/sprites/robot/
robot5.png,sprite,ChatGPT,"given reference image, create robot wheels animation, neon blue, head bob, wheel glow",8,30,"the spritesheet wasn't working, needed to create crop 8 seperate pngs, needed to remove background","scaled down 50%, reused asset for fall animation",res://assets_ai/processed/sprites/robot/
robot6.png,sprite,ChatGPT,"given reference image, create robot wheels animation, neon blue, head bob, wheel glow",8,30,"the spritesheet wasn't working, needed to create crop 8 seperate pngs, needed to remove background",scaled down 50%,res://assets_ai/processed/sprites/robot/
